
Smileys & Emotion
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
161 ,U+1F919 ,🤙 ,🤙 ,🤙 ,🤙 ,🤙 ,🤙 ,🤙 ,🤙 ,— ,— ,— ,— ,call me hand
hand-single-finger
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
162 ,U+1F448 ,👈 ,👈 ,👈 ,👈 ,👈 ,👈 ,👈 ,👈 ,👈 ,👈 ,— ,👈 ,backhand index pointing left
163 ,U+1F449 ,👉 ,👉 ,👉 ,👉 ,👉 ,👉 ,👉 ,👉 ,👉 ,👉 ,— ,👉 ,backhand index pointing right
164 ,U+1F446 ,👆 ,👆 ,👆 ,👆 ,👆 ,👆 ,👆 ,👆 ,👆 ,👆 ,— ,👆 ,backhand index pointing up
165 ,U+1F595 ,🖕 ,🖕 ,🖕 ,🖕 ,🖕 ,🖕 ,🖕 ,🖕 ,— ,— ,— ,— ,middle finger
166 ,U+1F447 ,👇 ,👇 ,👇 ,👇 ,👇 ,👇 ,👇 ,👇 ,👇 ,👇 ,— ,👇 ,backhand index pointing down
167 ,U+261D ,☝ ,☝ ,☝ ,☝ ,☝ ,☝ ,☝ ,☝ ,☝ ,☝ ,— ,☝ ,index pointing up
hand-fingers-closed
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
168 ,U+1F44D ,👍 ,👍 ,👍 ,👍 ,👍 ,👍 ,👍 ,👍 ,👍 ,👍 ,👍 ,👍 ,thumbs up
169 ,U+1F44E ,👎 ,👎 ,👎 ,👎 ,👎 ,👎 ,👎 ,👎 ,👎 ,👎 ,— ,👎 ,thumbs down
170 ,U+270A ,✊ ,✊ ,✊ ,✊ ,✊ ,✊ ,✊ ,✊ ,✊ ,✊ ,✊ ,✊ ,raised fist
171 ,U+1F44A ,👊 ,👊 ,👊 ,👊 ,👊 ,👊 ,👊 ,👊 ,👊 ,👊 ,👊 ,👊 ,oncoming fist
172 ,U+1F91B ,🤛 ,🤛 ,🤛 ,🤛 ,🤛 ,🤛 ,🤛 ,🤛 ,— ,— ,— ,— ,left-facing fist
173 ,U+1F91C ,🤜 ,🤜 ,🤜 ,🤜 ,🤜 ,🤜 ,🤜 ,🤜 ,— ,— ,— ,— ,right-facing fist
hands
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
174 ,U+1F44F ,👏 ,👏 ,👏 ,👏 ,👏 ,👏 ,👏 ,👏 ,👏 ,👏 ,— ,👏 ,clapping hands
175 ,U+1F64C ,🙌 ,🙌 ,🙌 ,🙌 ,🙌 ,🙌 ,🙌 ,🙌 ,🙌 ,🙌 ,— ,🙌 ,raising hands
176 ,U+1F450 ,👐 ,👐 ,👐 ,👐 ,👐 ,👐 ,👐 ,👐 ,👐 ,👐 ,— ,— ,open hands
177 ,U+1F932 ,🤲 ,🤲 ,🤲 ,🤲 ,🤲 ,🤲 ,🤲 ,🤲 ,— ,— ,— ,— ,palms up together
178 ,U+1F91D ,🤝 ,🤝 ,🤝 ,🤝 ,🤝 ,🤝 ,🤝 ,🤝 ,— ,— ,— ,— ,handshake
179 ,U+1F64F ,🙏 ,🙏 ,🙏 ,🙏 ,🙏 ,🙏 ,🙏 ,🙏 ,🙏 ,🙏 ,— ,🙏 ,folded hands
hand-prop
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
180 ,U+270D ,✍ ,✍ ,✍ ,✍ ,✍ ,✍ ,✍ ,✍ ,— ,— ,— ,— ,writing hand
181 ,U+1F485 ,💅 ,💅 ,💅 ,💅 ,💅 ,💅 ,💅 ,💅 ,💅 ,💅 ,— ,💅 ,nail polish
182 ,U+1F933 ,🤳 ,🤳 ,🤳 ,🤳 ,🤳 ,🤳 ,🤳 ,🤳 ,— ,— ,— ,— ,selfie
body-parts
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
183 ,U+1F4AA ,💪 ,💪 ,💪 ,💪 ,💪 ,💪 ,💪 ,💪 ,💪 ,💪 ,— ,💪 ,flexed biceps
184 ,U+1F9BE ,🦾 ,🦾 ,🦾 ,🦾 ,🦾 ,🦾 ,🦾 ,🦾 ,— ,— ,— ,— ,mechanical arm
185 ,U+1F9BF ,🦿 ,🦿 ,🦿 ,🦿 ,🦿 ,🦿 ,🦿 ,🦿 ,— ,— ,— ,— ,mechanical leg
186 ,U+1F9B5 ,🦵 ,🦵 ,🦵 ,🦵 ,🦵 ,🦵 ,🦵 ,🦵 ,— ,— ,— ,— ,leg
187 ,U+1F9B6 ,🦶 ,🦶 ,🦶 ,🦶 ,🦶 ,🦶 ,🦶 ,🦶 ,— ,— ,— ,— ,foot
188 ,U+1F442 ,👂 ,👂 ,👂 ,👂 ,👂 ,👂 ,👂 ,👂 ,👂 ,👂 ,👂 ,👂 ,ear
189 ,U+1F9BB ,🦻 ,🦻 ,🦻 ,🦻 ,🦻 ,🦻 ,🦻 ,🦻 ,— ,— ,— ,— ,ear with hearing aid
190 ,U+1F443 ,👃 ,👃 ,👃 ,👃 ,👃 ,👃 ,👃 ,👃 ,👃 ,👃 ,— ,👃 ,nose
191 ,U+1F9E0 ,🧠 ,🧠 ,🧠 ,🧠 ,🧠 ,🧠 ,🧠 ,🧠 ,— ,— ,— ,— ,brain
192 ,U+1F9B7 ,🦷 ,🦷 ,🦷 ,🦷 ,🦷 ,🦷 ,🦷 ,🦷 ,— ,— ,— ,— ,tooth
193 ,U+1F9B4 ,🦴 ,🦴 ,🦴 ,🦴 ,🦴 ,🦴 ,🦴 ,🦴 ,— ,— ,— ,— ,bone
194 ,U+1F440 ,👀 ,👀 ,👀 ,👀 ,👀 ,👀 ,👀 ,👀 ,👀 ,👀 ,👀 ,👀 ,eyes
195 ,U+1F441 ,👁 ,👁 ,👁 ,👁 ,👁 ,👁 ,👁 ,👁 ,— ,— ,— ,— ,eye
196 ,U+1F445 ,👅 ,👅 ,👅 ,👅 ,👅 ,👅 ,👅 ,👅 ,👅 ,— ,— ,👅 ,tongue
197 ,U+1F444 ,👄 ,👄 ,👄 ,👄 ,👄 ,👄 ,👄 ,👄 ,👄 ,👄 ,— ,👄 ,mouth
person
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
198 ,U+1F476 ,👶 ,👶 ,👶 ,👶 ,👶 ,👶 ,👶 ,👶 ,👶 ,👶 ,— ,👶 ,baby
199 ,U+1F9D2 ,🧒 ,🧒 ,🧒 ,🧒 ,🧒 ,🧒 ,🧒 ,🧒 ,— ,— ,— ,— ,child
200 ,U+1F466 ,👦 ,👦 ,👦 ,👦 ,👦 ,👦 ,👦 ,👦 ,👦 ,👦 ,— ,— ,boy
201 ,U+1F467 ,👧 ,👧 ,👧 ,👧 ,👧 ,👧 ,👧 ,👧 ,👧 ,👧 ,— ,— ,girl
202 ,U+1F9D1 ,🧑 ,🧑 ,🧑 ,🧑 ,🧑 ,🧑 ,🧑 ,🧑 ,— ,— ,— ,— ,person
203 ,U+1F471 ,👱 ,👱 ,👱 ,👱 ,👱 ,👱 ,👱 ,👱 ,👱 ,👱 ,— ,👱 ,person: blond hair
204 ,U+1F468 ,👨 ,👨 ,👨 ,👨 ,👨 ,👨 ,👨 ,👨 ,👨 ,👨 ,— ,👨 ,man
205 ,U+1F9D4 ,🧔 ,🧔 ,🧔 ,🧔 ,🧔 ,🧔 ,🧔 ,🧔 ,— ,— ,— ,— ,man: beard
206 ,U+1F468 U+200D U+1F9B0 ,👨‍🦰 ,👨‍🦰 ,👨‍🦰 ,👨‍🦰 ,👨‍🦰 ,👨‍🦰 ,👨‍🦰 ,👨‍🦰 ,— ,— ,— ,— ,man: red hair
207 ,U+1F468 U+200D U+1F9B1 ,👨‍🦱 ,👨‍🦱 ,👨‍🦱 ,👨‍🦱 ,👨‍🦱 ,👨‍🦱 ,👨‍🦱 ,👨‍🦱 ,— ,— ,— ,— ,man: curly hair
208 ,U+1F468 U+200D U+1F9B3 ,👨‍🦳 ,👨‍🦳 ,👨‍🦳 ,👨‍🦳 ,👨‍🦳 ,👨‍🦳 ,👨‍🦳 ,👨‍🦳 ,— ,— ,— ,— ,man: white hair
209 ,U+1F468 U+200D U+1F9B2 ,👨‍🦲 ,👨‍🦲 ,👨‍🦲 ,👨‍🦲 ,👨‍🦲 ,👨‍🦲 ,👨‍🦲 ,👨‍🦲 ,— ,— ,— ,— ,man: bald
210 ,U+1F469 ,👩 ,👩 ,👩 ,👩 ,👩 ,👩 ,👩 ,👩 ,👩 ,👩 ,— ,👩 ,woman
211 ,U+1F469 U+200D U+1F9B0 ,👩‍🦰 ,👩‍🦰 ,👩‍🦰 ,👩‍🦰 ,👩‍🦰 ,👩‍🦰 ,👩‍🦰 ,👩‍🦰 ,— ,— ,— ,— ,woman: red hair
212 ,U+1F9D1 U+200D U+1F9B0 ,🧑‍🦰 ,🧑‍🦰 ,🧑‍🦰 ,— ,— ,🧑‍🦰 ,— ,— ,— ,— ,— ,— ,⊛ person: red hair
213 ,U+1F469 U+200D U+1F9B1 ,👩‍🦱 ,👩‍🦱 ,👩‍🦱 ,👩‍🦱 ,👩‍🦱 ,👩‍🦱 ,👩‍🦱 ,👩‍🦱 ,— ,— ,— ,— ,woman: curly hair
214 ,U+1F9D1 U+200D U+1F9B1 ,🧑‍🦱 ,🧑‍🦱 ,🧑‍🦱 ,— ,— ,🧑‍🦱 ,— ,— ,— ,— ,— ,— ,⊛ person: curly hair
215 ,U+1F469 U+200D U+1F9B3 ,👩‍🦳 ,👩‍🦳 ,👩‍🦳 ,👩‍🦳 ,👩‍🦳 ,👩‍🦳 ,👩‍🦳 ,👩‍🦳 ,— ,— ,— ,— ,woman: white hair
216 ,U+1F9D1 U+200D U+1F9B3 ,🧑‍🦳 ,🧑‍🦳 ,🧑‍🦳 ,— ,— ,🧑‍🦳 ,— ,— ,— ,— ,— ,— ,⊛ person: white hair
217 ,U+1F469 U+200D U+1F9B2 ,👩‍🦲 ,👩‍🦲 ,👩‍🦲 ,👩‍🦲 ,👩‍🦲 ,👩‍🦲 ,👩‍🦲 ,👩‍🦲 ,— ,— ,— ,— ,woman: bald
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
218 ,U+1F9D1 U+200D U+1F9B2 ,🧑‍🦲 ,🧑‍🦲 ,🧑‍🦲 ,— ,— ,🧑‍🦲 ,— ,— ,— ,— ,— ,— ,⊛ person: bald
219 ,U+1F471 U+200D U+2640 U+FE0F ,👱‍♀️ ,👱‍♀️ ,👱‍♀️ ,👱‍♀️ ,👱‍♀️ ,👱‍♀️ ,👱‍♀️ ,👱‍♀️ ,— ,— ,— ,— ,woman: blond hair
220 ,U+1F471 U+200D U+2642 U+FE0F ,👱‍♂️ ,👱‍♂️ ,👱‍♂️ ,👱‍♂️ ,👱‍♂️ ,👱‍♂️ ,👱‍♂️ ,👱‍♂️ ,— ,— ,— ,— ,man: blond hair
221 ,U+1F9D3 ,🧓 ,🧓 ,🧓 ,🧓 ,🧓 ,🧓 ,🧓 ,🧓 ,— ,— ,— ,— ,older person
222 ,U+1F474 ,👴 ,👴 ,👴 ,👴 ,👴 ,👴 ,👴 ,👴 ,👴 ,👴 ,— ,👴 ,old man
223 ,U+1F475 ,👵 ,👵 ,👵 ,👵 ,👵 ,👵 ,👵 ,👵 ,👵 ,👵 ,— ,👵 ,old woman
person-gesture
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
224 ,U+1F64D ,🙍 ,🙍 ,🙍 ,🙍 ,🙍 ,🙍 ,🙍 ,🙍 ,🙍 ,— ,— ,🙍 ,person frowning
225 ,U+1F64D U+200D U+2642 U+FE0F ,🙍‍♂️ ,🙍‍♂️ ,🙍‍♂️ ,🙍‍♂️ ,🙍‍♂️ ,🙍‍♂️ ,🙍‍♂️ ,🙍‍♂️ ,— ,— ,— ,— ,man frowning
226 ,U+1F64D U+200D U+2640 U+FE0F ,🙍‍♀️ ,🙍‍♀️ ,🙍‍♀️ ,🙍‍♀️ ,🙍‍♀️ ,🙍‍♀️ ,🙍‍♀️ ,🙍‍♀️ ,— ,— ,— ,— ,woman frowning
227 ,U+1F64E ,🙎 ,🙎 ,🙎 ,🙎 ,🙎 ,🙎 ,🙎 ,🙎 ,🙎 ,— ,— ,🙎 ,person pouting
228 ,U+1F64E U+200D U+2642 U+FE0F ,🙎‍♂️ ,🙎‍♂️ ,🙎‍♂️ ,🙎‍♂️ ,🙎‍♂️ ,🙎‍♂️ ,🙎‍♂️ ,🙎‍♂️ ,— ,— ,— ,— ,man pouting
229 ,U+1F64E U+200D U+2640 U+FE0F ,🙎‍♀️ ,🙎‍♀️ ,🙎‍♀️ ,🙎‍♀️ ,🙎‍♀️ ,🙎‍♀️ ,🙎‍♀️ ,🙎‍♀️ ,— ,— ,— ,— ,woman pouting
230 ,U+1F645 ,🙅 ,🙅 ,🙅 ,🙅 ,🙅 ,🙅 ,🙅 ,🙅 ,🙅 ,🙅 ,— ,🙅 ,person gesturing NO
231 ,U+1F645 U+200D U+2642 U+FE0F ,🙅‍♂️ ,🙅‍♂️ ,🙅‍♂️ ,🙅‍♂️ ,🙅‍♂️ ,🙅‍♂️ ,🙅‍♂️ ,🙅‍♂️ ,— ,— ,— ,— ,man gesturing NO
232 ,U+1F645 U+200D U+2640 U+FE0F ,🙅‍♀️ ,🙅‍♀️ ,🙅‍♀️ ,🙅‍♀️ ,🙅‍♀️ ,🙅‍♀️ ,🙅‍♀️ ,🙅‍♀️ ,— ,— ,— ,— ,woman gesturing NO
233 ,U+1F646 ,🙆 ,🙆 ,🙆 ,🙆 ,🙆 ,🙆 ,🙆 ,🙆 ,🙆 ,🙆 ,— ,🙆 ,person gesturing OK
234 ,U+1F646 U+200D U+2642 U+FE0F ,🙆‍♂️ ,🙆‍♂️ ,🙆‍♂️ ,🙆‍♂️ ,🙆‍♂️ ,🙆‍♂️ ,🙆‍♂️ ,🙆‍♂️ ,— ,— ,— ,— ,man gesturing OK
235 ,U+1F646 U+200D U+2640 U+FE0F ,🙆‍♀️ ,🙆‍♀️ ,🙆‍♀️ ,🙆‍♀️ ,🙆‍♀️ ,🙆‍♀️ ,🙆‍♀️ ,🙆‍♀️ ,— ,— ,— ,— ,woman gesturing OK
236 ,U+1F481 ,💁 ,💁 ,💁 ,💁 ,💁 ,💁 ,💁 ,💁 ,💁 ,💁 ,— ,— ,person tipping hand
237 ,U+1F481 U+200D U+2642 U+FE0F ,💁‍♂️ ,💁‍♂️ ,💁‍♂️ ,💁‍♂️ ,💁‍♂️ ,💁‍♂️ ,💁‍♂️ ,💁‍♂️ ,— ,— ,— ,— ,man tipping hand
238 ,U+1F481 U+200D U+2640 U+FE0F ,💁‍♀️ ,💁‍♀️ ,💁‍♀️ ,💁‍♀️ ,💁‍♀️ ,💁‍♀️ ,💁‍♀️ ,💁‍♀️ ,— ,— ,— ,— ,woman tipping hand
239 ,U+1F64B ,🙋 ,🙋 ,🙋 ,🙋 ,🙋 ,🙋 ,🙋 ,🙋 ,🙋 ,— ,— ,🙋 ,person raising hand
240 ,U+1F64B U+200D U+2642 U+FE0F ,🙋‍♂️ ,🙋‍♂️ ,🙋‍♂️ ,🙋‍♂️ ,🙋‍♂️ ,🙋‍♂️ ,🙋‍♂️ ,🙋‍♂️ ,— ,— ,— ,— ,man raising hand
241 ,U+1F64B U+200D U+2640 U+FE0F ,🙋‍♀️ ,🙋‍♀️ ,🙋‍♀️ ,🙋‍♀️ ,🙋‍♀️ ,🙋‍♀️ ,🙋‍♀️ ,🙋‍♀️ ,— ,— ,— ,— ,woman raising hand
242 ,U+1F9CF ,🧏 ,🧏 ,🧏 ,🧏 ,🧏 ,🧏 ,🧏 ,🧏 ,— ,— ,— ,— ,deaf person
243 ,U+1F9CF U+200D U+2642 U+FE0F ,🧏‍♂️ ,🧏‍♂️ ,🧏‍♂️ ,🧏‍♂️ ,— ,🧏‍♂️ ,🧏‍♂️ ,🧏‍♂️ ,— ,— ,— ,— ,deaf man
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
244 ,U+1F9CF U+200D U+2640 U+FE0F ,🧏‍♀️ ,🧏‍♀️ ,🧏‍♀️ ,🧏‍♀️ ,— ,🧏‍♀️ ,🧏‍♀️ ,🧏‍♀️ ,— ,— ,— ,— ,deaf woman
245 ,U+1F647 ,🙇 ,🙇 ,🙇 ,🙇 ,🙇 ,🙇 ,🙇 ,🙇 ,🙇 ,🙇 ,— ,🙇 ,person bowing
246 ,U+1F647 U+200D U+2642 U+FE0F ,🙇‍♂️ ,🙇‍♂️ ,🙇‍♂️ ,🙇‍♂️ ,🙇‍♂️ ,🙇‍♂️ ,🙇‍♂️ ,🙇‍♂️ ,— ,— ,— ,— ,man bowing
247 ,U+1F647 U+200D U+2640 U+FE0F ,🙇‍♀️ ,🙇‍♀️ ,🙇‍♀️ ,🙇‍♀️ ,🙇‍♀️ ,🙇‍♀️ ,🙇‍♀️ ,🙇‍♀️ ,— ,— ,— ,— ,woman bowing
248 ,U+1F926 ,🤦 ,🤦 ,🤦 ,🤦 ,🤦 ,🤦 ,🤦 ,🤦 ,— ,— ,— ,— ,person facepalming
249 ,U+1F926 U+200D U+2642 U+FE0F ,🤦‍♂️ ,🤦‍♂️ ,🤦‍♂️ ,🤦‍♂️ ,🤦‍♂️ ,🤦‍♂️ ,🤦‍♂️ ,🤦‍♂️ ,— ,— ,— ,— ,man facepalming
250 ,U+1F926 U+200D U+2640 U+FE0F ,🤦‍♀️ ,🤦‍♀️ ,🤦‍♀️ ,🤦‍♀️ ,🤦‍♀️ ,🤦‍♀️ ,🤦‍♀️ ,🤦‍♀️ ,— ,— ,— ,— ,woman facepalming
251 ,U+1F937 ,🤷 ,🤷 ,🤷 ,🤷 ,🤷 ,🤷 ,🤷 ,🤷 ,— ,— ,— ,— ,person shrugging
252 ,U+1F937 U+200D U+2642 U+FE0F ,🤷‍♂️ ,🤷‍♂️ ,🤷‍♂️ ,🤷‍♂️ ,🤷‍♂️ ,🤷‍♂️ ,🤷‍♂️ ,🤷‍♂️ ,— ,— ,— ,— ,man shrugging
253 ,U+1F937 U+200D U+2640 U+FE0F ,🤷‍♀️ ,🤷‍♀️ ,🤷‍♀️ ,🤷‍♀️ ,🤷‍♀️ ,🤷‍♀️ ,🤷‍♀️ ,🤷‍♀️ ,— ,— ,— ,— ,woman shrugging
person-role
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
254 ,U+1F9D1 U+200D U+2695 U+FE0F ,🧑‍⚕️ ,🧑‍⚕️ ,🧑‍⚕️ ,— ,— ,🧑‍⚕️ ,— ,— ,— ,— ,— ,— ,⊛ health worker
255 ,U+1F468 U+200D U+2695 U+FE0F ,👨‍⚕️ ,👨‍⚕️ ,👨‍⚕️ ,👨‍⚕️ ,👨‍⚕️ ,👨‍⚕️ ,👨‍⚕️ ,👨‍⚕️ ,— ,— ,— ,— ,man health worker
256 ,U+1F469 U+200D U+2695 U+FE0F ,👩‍⚕️ ,👩‍⚕️ ,👩‍⚕️ ,👩‍⚕️ ,👩‍⚕️ ,👩‍⚕️ ,👩‍⚕️ ,👩‍⚕️ ,— ,— ,— ,— ,woman health worker
257 ,U+1F9D1 U+200D U+1F393 ,🧑‍🎓 ,🧑‍🎓 ,🧑‍🎓 ,— ,— ,🧑‍🎓 ,— ,— ,— ,— ,— ,— ,⊛ student
258 ,U+1F468 U+200D U+1F393 ,👨‍🎓 ,👨‍🎓 ,👨‍🎓 ,👨‍🎓 ,👨‍🎓 ,👨‍🎓 ,👨‍🎓 ,👨‍🎓 ,— ,— ,— ,— ,man student
259 ,U+1F469 U+200D U+1F393 ,👩‍🎓 ,👩‍🎓 ,👩‍🎓 ,👩‍🎓 ,👩‍🎓 ,👩‍🎓 ,👩‍🎓 ,👩‍🎓 ,— ,— ,— ,— ,woman student
260 ,U+1F9D1 U+200D U+1F3EB ,🧑‍🏫 ,🧑‍🏫 ,🧑‍🏫 ,— ,— ,🧑‍🏫 ,— ,— ,— ,— ,— ,— ,⊛ teacher
261 ,U+1F468 U+200D U+1F3EB ,👨‍🏫 ,👨‍🏫 ,👨‍🏫 ,👨‍🏫 ,👨‍🏫 ,👨‍🏫 ,👨‍🏫 ,👨‍🏫 ,— ,— ,— ,— ,man teacher
262 ,U+1F469 U+200D U+1F3EB ,👩‍🏫 ,👩‍🏫 ,👩‍🏫 ,👩‍🏫 ,👩‍🏫 ,👩‍🏫 ,👩‍🏫 ,👩‍🏫 ,— ,— ,— ,— ,woman teacher
263 ,U+1F9D1 U+200D U+2696 U+FE0F ,🧑‍⚖️ ,🧑‍⚖️ ,🧑‍⚖️ ,— ,— ,🧑‍⚖️ ,— ,— ,— ,— ,— ,— ,⊛ judge
264 ,U+1F468 U+200D U+2696 U+FE0F ,👨‍⚖️ ,👨‍⚖️ ,👨‍⚖️ ,👨‍⚖️ ,👨‍⚖️ ,👨‍⚖️ ,👨‍⚖️ ,👨‍⚖️ ,— ,— ,— ,— ,man judge
265 ,U+1F469 U+200D U+2696 U+FE0F ,👩‍⚖️ ,👩‍⚖️ ,👩‍⚖️ ,👩‍⚖️ ,👩‍⚖️ ,👩‍⚖️ ,👩‍⚖️ ,👩‍⚖️ ,— ,— ,— ,— ,woman judge
266 ,U+1F9D1 U+200D U+1F33E ,🧑‍🌾 ,🧑‍🌾 ,🧑‍🌾 ,— ,— ,🧑‍🌾 ,— ,— ,— ,— ,— ,— ,⊛ farmer
267 ,U+1F468 U+200D U+1F33E ,👨‍🌾 ,👨‍🌾 ,👨‍🌾 ,👨‍🌾 ,👨‍🌾 ,👨‍🌾 ,👨‍🌾 ,👨‍🌾 ,— ,— ,— ,— ,man farmer
268 ,U+1F469 U+200D U+1F33E ,👩‍🌾 ,👩‍🌾 ,👩‍🌾 ,👩‍🌾 ,👩‍🌾 ,👩‍🌾 ,👩‍🌾 ,👩‍🌾 ,— ,— ,— ,— ,woman farmer
269 ,U+1F9D1 U+200D U+1F373 ,🧑‍🍳 ,🧑‍🍳 ,🧑‍🍳 ,— ,— ,🧑‍🍳 ,— ,— ,— ,— ,— ,— ,⊛ cook
270 ,U+1F468 U+200D U+1F373 ,👨‍🍳 ,👨‍🍳 ,👨‍🍳 ,👨‍🍳 ,👨‍🍳 ,👨‍🍳 ,👨‍🍳 ,👨‍🍳 ,— ,— ,— ,— ,man cook
271 ,U+1F469 U+200D U+1F373 ,👩‍🍳 ,👩‍🍳 ,👩‍🍳 ,👩‍🍳 ,👩‍🍳 ,👩‍🍳 ,👩‍🍳 ,👩‍🍳 ,— ,— ,— ,— ,woman cook
272 ,U+1F9D1 U+200D U+1F527 ,🧑‍🔧 ,🧑‍🔧 ,🧑‍🔧 ,— ,— ,🧑‍🔧 ,— ,— ,— ,— ,— ,— ,⊛ mechanic
273 ,U+1F468 U+200D U+1F527 ,👨‍🔧 ,👨‍🔧 ,👨‍🔧 ,👨‍🔧 ,👨‍🔧 ,👨‍🔧 ,👨‍🔧 ,👨‍🔧 ,— ,— ,— ,— ,man mechanic
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
274 ,U+1F469 U+200D U+1F527 ,👩‍🔧 ,👩‍🔧 ,👩‍🔧 ,👩‍🔧 ,👩‍🔧 ,👩‍🔧 ,👩‍🔧 ,👩‍🔧 ,— ,— ,— ,— ,woman mechanic
275 ,U+1F9D1 U+200D U+1F3ED ,🧑‍🏭 ,🧑‍🏭 ,🧑‍🏭 ,— ,— ,🧑‍🏭 ,— ,— ,— ,— ,— ,— ,⊛ factory worker
276 ,U+1F468 U+200D U+1F3ED ,👨‍🏭 ,👨‍🏭 ,👨‍🏭 ,👨‍🏭 ,👨‍🏭 ,👨‍🏭 ,👨‍🏭 ,👨‍🏭 ,— ,— ,— ,— ,man factory worker
277 ,U+1F469 U+200D U+1F3ED ,👩‍🏭 ,👩‍🏭 ,👩‍🏭 ,👩‍🏭 ,👩‍🏭 ,👩‍🏭 ,👩‍🏭 ,👩‍🏭 ,— ,— ,— ,— ,woman factory worker
278 ,U+1F9D1 U+200D U+1F4BC ,🧑‍💼 ,🧑‍💼 ,🧑‍💼 ,— ,— ,🧑‍💼 ,— ,— ,— ,— ,— ,— ,⊛ office worker
279 ,U+1F468 U+200D U+1F4BC ,👨‍💼 ,👨‍💼 ,👨‍💼 ,👨‍💼 ,👨‍💼 ,👨‍💼 ,👨‍💼 ,👨‍💼 ,— ,— ,— ,— ,man office worker
280 ,U+1F469 U+200D U+1F4BC ,👩‍💼 ,👩‍💼 ,👩‍💼 ,👩‍💼 ,👩‍💼 ,👩‍💼 ,👩‍💼 ,👩‍💼 ,— ,— ,— ,— ,woman office worker
281 ,U+1F9D1 U+200D U+1F52C ,🧑‍🔬 ,🧑‍🔬 ,🧑‍🔬 ,— ,— ,🧑‍🔬 ,— ,— ,— ,— ,— ,— ,⊛ scientist
282 ,U+1F468 U+200D U+1F52C ,👨‍🔬 ,👨‍🔬 ,👨‍🔬 ,👨‍🔬 ,👨‍🔬 ,👨‍🔬 ,👨‍🔬 ,👨‍🔬 ,— ,— ,— ,— ,man scientist
283 ,U+1F469 U+200D U+1F52C ,👩‍🔬 ,👩‍🔬 ,👩‍🔬 ,👩‍🔬 ,👩‍🔬 ,👩‍🔬 ,👩‍🔬 ,👩‍🔬 ,— ,— ,— ,— ,woman scientist
284 ,U+1F9D1 U+200D U+1F4BB ,🧑‍💻 ,🧑‍💻 ,🧑‍💻 ,— ,— ,🧑‍💻 ,— ,— ,— ,— ,— ,— ,⊛ technologist
285 ,U+1F468 U+200D U+1F4BB ,👨‍💻 ,👨‍💻 ,👨‍💻 ,👨‍💻 ,👨‍💻 ,👨‍💻 ,👨‍💻 ,👨‍💻 ,— ,— ,— ,— ,man technologist
286 ,U+1F469 U+200D U+1F4BB ,👩‍💻 ,👩‍💻 ,👩‍💻 ,👩‍💻 ,👩‍💻 ,👩‍💻 ,👩‍💻 ,👩‍💻 ,— ,— ,— ,— ,woman technologist
287 ,U+1F9D1 U+200D U+1F3A4 ,🧑‍🎤 ,🧑‍🎤 ,🧑‍🎤 ,— ,— ,🧑‍🎤 ,— ,— ,— ,— ,— ,— ,⊛ singer
288 ,U+1F468 U+200D U+1F3A4 ,👨‍🎤 ,👨‍🎤 ,👨‍🎤 ,👨‍🎤 ,👨‍🎤 ,👨‍🎤 ,👨‍🎤 ,👨‍🎤 ,— ,— ,— ,— ,man singer
289 ,U+1F469 U+200D U+1F3A4 ,👩‍🎤 ,👩‍🎤 ,👩‍🎤 ,👩‍🎤 ,👩‍🎤 ,👩‍🎤 ,👩‍🎤 ,👩‍🎤 ,— ,— ,— ,— ,woman singer
